CMDLINE python EyeTracking.py
MEM 7.125000 1452278454.5504
MEM 20.835938 1452278454.6601
MEM 58.105469 1452278454.7698
MEM 60.949219 1452278454.8790
MEM 67.332031 1452278454.9878
MEM 67.484375 1452278455.0968
MEM 67.484375 1452278455.2151
MEM 67.484375 1452278455.3336
MEM 93.218750 1452278455.4499
MEM 106.730469 1452278455.5600
MEM 115.628906 1452278455.6812
MEM 115.699219 1452278455.7973
MEM 115.789062 1452278455.9079
MEM 115.863281 1452278456.0190
MEM 116.531250 1452278456.1309
MEM 116.843750 1452278456.2413
MEM 116.917969 1452278456.3539
MEM 116.917969 1452278456.4733
MEM 116.917969 1452278456.5851
MEM 116.917969 1452278456.6948
MEM 116.917969 1452278456.8053
MEM 116.917969 1452278456.9152
MEM 116.925781 1452278457.0253
MEM 116.925781 1452278457.1350
MEM 116.925781 1452278457.2494
MEM 116.925781 1452278457.3637
MEM 116.925781 1452278457.4800
MEM 116.949219 1452278457.5901
MEM 116.957031 1452278457.7010
MEM 117.000000 1452278457.8116
MEM 117.046875 1452278457.9227
MEM 117.050781 1452278458.0339
MEM 117.085938 1452278458.1453
MEM 117.097656 1452278458.2549
MEM 117.132812 1452278458.3659
MEM 117.132812 1452278458.4791
MEM 117.132812 1452278458.5897
MEM 117.132812 1452278458.7046
MEM 117.132812 1452278458.8186
MEM 117.132812 1452278458.9295
MEM 117.132812 1452278459.0391
MEM 117.132812 1452278459.1487
MEM 117.132812 1452278459.2594
MEM 117.132812 1452278459.3692
MEM 117.132812 1452278459.4863
MEM 117.132812 1452278459.5996
MEM 117.132812 1452278459.7095
MEM 117.132812 1452278459.8200
MEM 117.425781 1452278459.9305
MEM 117.425781 1452278460.0403
MEM 117.433594 1452278460.1507
MEM 117.761719 1452278460.2603
MEM 117.761719 1452278460.3704
MEM 117.808594 1452278460.4827
MEM 117.808594 1452278460.5923
MEM 117.808594 1452278460.7027
MEM 117.808594 1452278460.8128
MEM 117.808594 1452278460.9223
MEM 117.808594 1452278461.0327
MEM 117.808594 1452278461.1439
MEM 117.808594 1452278461.2539
MEM 117.808594 1452278461.3643
MEM 117.808594 1452278461.4805
MEM 117.808594 1452278461.5901
MEM 117.808594 1452278461.7005
MEM 117.808594 1452278461.8118
MEM 117.808594 1452278461.9224
MEM 117.808594 1452278462.0328
MEM 117.808594 1452278462.1432
MEM 117.808594 1452278462.2540
MEM 117.808594 1452278462.3633
MEM 118.101562 1452278462.4789
MEM 118.101562 1452278462.5895
MEM 118.117188 1452278462.7059
MEM 118.117188 1452278462.8159
MEM 118.117188 1452278462.9266
MEM 118.117188 1452278463.0369
MEM 118.117188 1452278463.1479
MEM 118.117188 1452278463.2600
MEM 118.117188 1452278463.3762
MEM 118.117188 1452278463.4885
MEM 118.117188 1452278463.5996
MEM 118.117188 1452278463.7101
MEM 118.117188 1452278463.8209
MEM 118.117188 1452278463.9314
MEM 118.117188 1452278464.0418
MEM 118.117188 1452278464.1534
MEM 118.117188 1452278464.2632
MEM 118.117188 1452278464.3733
MEM 118.125000 1452278464.4858
MEM 118.437500 1452278464.5969
MEM 118.476562 1452278464.7128
MEM 118.484375 1452278464.8275
MEM 118.519531 1452278464.9384
MEM 118.519531 1452278465.0485
MEM 118.519531 1452278465.1590
MEM 118.519531 1452278465.2698
MEM 118.519531 1452278465.3806
MEM 118.519531 1452278465.4917
MEM 118.519531 1452278465.6016
MEM 118.519531 1452278465.7114
MEM 118.519531 1452278465.8228
MEM 118.519531 1452278465.9349
MEM 118.519531 1452278466.0453
MEM 118.519531 1452278466.1575
MEM 118.519531 1452278466.2672
MEM 118.519531 1452278466.3776
MEM 118.550781 1452278466.4911
MEM 118.550781 1452278466.6015
MEM 118.562500 1452278466.7123
MEM 118.863281 1452278466.8238
MEM 118.898438 1452278466.9358
MEM 118.933594 1452278467.0460
MEM 118.933594 1452278467.1583
MEM 118.933594 1452278467.2694
MEM 118.933594 1452278467.3849
MEM 118.933594 1452278467.4964
MEM 118.933594 1452278467.6063
MEM 118.933594 1452278467.7173
MEM 118.933594 1452278467.8281
MEM 118.933594 1452278467.9394
MEM 118.933594 1452278468.0542
MEM 118.933594 1452278468.1666
MEM 118.933594 1452278468.2760
MEM 118.933594 1452278468.3867
MEM 118.933594 1452278468.4980
MEM 119.562500 1452278468.6079
MEM 119.562500 1452278468.7220
MEM 119.566406 1452278468.8322
MEM 119.574219 1452278468.9418
MEM 119.621094 1452278469.0516
MEM 119.628906 1452278469.1631
MEM 119.664062 1452278469.2888
MEM 119.664062 1452278469.3991
MEM 119.664062 1452278469.5162
MEM 119.664062 1452278469.6335
MEM 119.664062 1452278469.7481
MEM 119.664062 1452278469.8585
MEM 119.664062 1452278469.9683
MEM 119.664062 1452278470.0784
MEM 119.664062 1452278470.1911
MEM 119.664062 1452278470.3018
MEM 119.664062 1452278470.4180
MEM 119.664062 1452278470.5305
MEM 119.664062 1452278470.6414
MEM 119.664062 1452278470.7512
MEM 119.664062 1452278470.8618
MEM 119.664062 1452278470.9761
MEM 119.675781 1452278471.0861
MEM 119.675781 1452278471.1987
MEM 119.714844 1452278471.3087
MEM 119.750000 1452278471.4200
MEM 119.750000 1452278471.5314
MEM 119.750000 1452278471.6470
MEM 119.750000 1452278471.7567
MEM 119.750000 1452278471.8681
MEM 119.750000 1452278471.9787
MEM 119.750000 1452278472.0879
MEM 119.750000 1452278472.1990
MEM 119.750000 1452278472.3114
MEM 119.750000 1452278472.4223
MEM 119.750000 1452278472.5328
MEM 119.750000 1452278472.6436
MEM 119.750000 1452278472.7549
MEM 119.750000 1452278472.8656
MEM 119.750000 1452278472.9802
MEM 119.750000 1452278473.0911
MEM 119.750000 1452278473.2012
MEM 120.214844 1452278473.3124
MEM 120.253906 1452278473.4264
MEM 120.269531 1452278473.5416
MEM 120.300781 1452278473.6528
MEM 121.179688 1452278473.7738
MEM 121.179688 1452278473.8927
MEM 121.179688 1452278474.0071
MEM 121.179688 1452278474.1179
MEM 121.179688 1452278474.2281
MEM 121.179688 1452278474.3428
MEM 121.179688 1452278474.4540
MEM 121.179688 1452278474.5670
MEM 121.472656 1452278474.6873
MEM 121.472656 1452278474.7972
MEM 121.472656 1452278474.9160
MEM 121.472656 1452278475.0326
MEM 121.472656 1452278475.1437
MEM 121.472656 1452278475.2600
MEM 121.472656 1452278475.3698
MEM 121.480469 1452278475.4862
MEM 121.523438 1452278475.6030
MEM 121.531250 1452278475.7234
MEM 121.582031 1452278475.8332
MEM 121.582031 1452278475.9474
MEM 121.582031 1452278476.0616
MEM 121.582031 1452278476.1728
MEM 121.875000 1452278476.2866
MEM 121.875000 1452278476.4035
MEM 121.875000 1452278476.5180
MEM 122.167969 1452278476.6297
MEM 122.167969 1452278476.7405
MEM 122.167969 1452278476.8507
MEM 122.167969 1452278476.9610
MEM 122.167969 1452278477.0703
MEM 122.167969 1452278477.1841
MEM 122.167969 1452278477.2955
MEM 122.167969 1452278477.4114
MEM 122.167969 1452278477.5239
MEM 122.183594 1452278477.6337
MEM 122.191406 1452278477.7440
MEM 122.222656 1452278477.8548
MEM 122.261719 1452278477.9687
MEM 122.261719 1452278478.0786
MEM 122.261719 1452278478.1947
MEM 122.261719 1452278478.3067
MEM 122.261719 1452278478.4173
MEM 122.261719 1452278478.5279
MEM 122.261719 1452278478.6394
MEM 122.261719 1452278478.7493
MEM 122.261719 1452278478.8675
